1 c.name;2 surname;3 c.ak;4 c.birthdate;5 p.name;6 p.ak;7 p.email;8 p.phone;9 k.name;10 k.code;11 k.phone;12 k.email;13 k.account;14 k.address;15 p.address;16 k.bankName;17 k.bankCode
Stefanija;Izėnaitė;61604150381;2016-04-15;Almanė;49404150381;user35@user.lt;+37060000035;Šurum-burum;123000015;861000015;darzelis15@darzelis.lt;LT000000000000000015;"Ilgiausia g. 215, Vilnius";"Ilgiausia g. 35, Vilnius";Pinigų Pieninė;PNGPNN66
Chonija;Tuntaitė;61604150348;2016-04-15;Saugė;49404150348;user36@user.lt;+37060000036;Aguonų laukas;123000016;861000016;darzelis16@darzelis.lt;LT000000000000000016;"Ilgiausia g. 216, Vilnius";"Ilgiausia g. 36, Vilnius";Pinigų Pieninė;PNGPNN66
Algimantė;Cesiulytė;61604150392;2016-04-15;Jolanta;49404150392;user37@user.lt;+37060000037;Vienaragis;123000017;861000017;darzelis17@darzelis.lt;LT000000000000000017;"Ilgiausia g. 217, Vilnius";"Ilgiausia g. 37, Vilnius";Pinigų Pieninė;PNGPNN66
Domnikija;Zienkaitė;61604150370;2016-04-15;Samuela;49404150370;user38@user.lt;+37060000038;Paršelis;123000018;861000018;darzelis18@darzelis.lt;LT000000000000000018;"Ilgiausia g. 218, Vilnius";"Ilgiausia g. 38, Vilnius";Pinigų Pieninė;PNGPNN66
Vingėla;Krevaldaitė;61604150326;2016-04-15;Milgintė;49404150326;user39@user.lt;+37060000039;Puškutis;123000019;861000019;darzelis19@darzelis.lt;LT000000000000000019;"Ilgiausia g. 219, Vilnius";"Ilgiausia g. 39, Vilnius";Pinigų Pieninė;PNGPNN66
Pijus;Drinauskis;51605150417;2016-05-15;Alfonsas;38605150417;user40@user.lt;+37060000040;Baseinėlis;123000020;861000020;darzelis20@darzelis.lt;LT000000000000000020;"Ilgiausia g. 220, Vilnius";"Ilgiausia g. 40, Vilnius";Pinigų Pieninė;PNGPNN66
Eigimantas;Pržialgauskas;51605150483;2016-05-15;Vytalijus;38605150483;user41@user.lt;+37060000041;Blizgutis;123000001;861000001;darzelis1@darzelis.lt;LT000000000000000001;"Ilgiausia g. 201, Vilnius";"Ilgiausia g. 41, Vilnius";Pinigų Pieninė;PNGPNN66
Laurent;Dygymas;51605150461;2016-05-15;Galminas;38605150461;user42@user.lt;+37060000042;Dudutis;123000002;861000002;darzelis2@darzelis.lt;LT000000000000000002;"Ilgiausia g. 202, Vilnius";"Ilgiausia g. 42, Vilnius";Pinigų Pieninė;PNGPNN66
Einius;Pūpelis;51605150494;2016-05-15;Lauris;38605150494;user43@user.lt;+37060000043;Makalai;123000003;861000003;darzelis3@darzelis.lt;LT000000000000000003;"Ilgiausia g. 203, Vilnius";"Ilgiausia g. 43, Vilnius";Pinigų Pieninė;PNGPNN66
Genis;Grodeikis;51605150472;2016-05-15;Radulfas;38605150472;user44@user.lt;+37060000044;Bim-Bam;123000004;861000004;darzelis4@darzelis.lt;LT000000000000000004;"Ilgiausia g. 204, Vilnius";"Ilgiausia g. 44, Vilnius";Pinigų Pieninė;PNGPNN66
Vygis;Svila;51605150450;2016-05-15;Trifonas;38605150450;user45@user.lt;+37060000045;Batukai;123000005;861000005;darzelis5@darzelis.lt;LT000000000000000005;"Ilgiausia g. 205, Vilnius";"Ilgiausia g. 45, Vilnius";Pinigų Pieninė;PNGPNN66
Rimbertas;Kveselevičius;51605150406;2016-05-15;Gedeiminas;38605150406;user46@user.lt;+37060000046;Gėlynėlis;123000006;861000006;darzelis6@darzelis.lt;LT000000000000000006;"Ilgiausia g. 206, Vilnius";"Ilgiausia g. 46, Vilnius";Pinigų Pieninė;PNGPNN66
Augminas;Zykus;51605150443;2016-05-15;Geitvydas;38605150443;user47@user.lt;+37060000047;Ąžuolėlis;123000007;861000007;darzelis7@darzelis.lt;LT000000000000000007;"Ilgiausia g. 207, Vilnius";"Ilgiausia g. 47, Vilnius";Pinigų Pieninė;PNGPNN66
Emis;Navackas;51605150428;2016-05-15;Mečius;38605150428;user48@user.lt;+37060000048;Trys Liepaitės;123000008;861000008;darzelis8@darzelis.lt;LT000000000000000008;"Ilgiausia g. 208, Vilnius";"Ilgiausia g. 48, Vilnius";Pinigų Pieninė;PNGPNN66
Viktoras;Vapšys;51605150439;2016-05-15;Eivis;38605150439;user49@user.lt;+37060000049;Du batukai;123000009;861000009;darzelis9@darzelis.lt;LT000000000000000009;"Ilgiausia g. 209, Vilnius";"Ilgiausia g. 49, Vilnius";Pinigų Pieninė;PNGPNN66
Ida;Kerbėlytė;61606150587;2016-06-15;Zene;49406150587;user50@user.lt;+37060000050;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 50, Vilnius";Pinigų Pieninė;PNGPNN66
Chabronija;Apčinskiūtė;61606150503;2016-06-15;Laisvida;49406150503;user51@user.lt;+37060000051;Dūdutis;123000011;861000011;darzelis11@darzelis.lt;LT000000000000000011;"Ilgiausia g. 211, Vilnius";"Ilgiausia g. 51, Vilnius";Pinigų Pieninė;PNGPNN66
Ksavera;Kūlokytė;61606150598;2016-06-15;Janislava;49406150598;user52@user.lt;+37060000052;Trupinėlis;123000012;861000012;darzelis12@darzelis.lt;LT000000000000000012;"Ilgiausia g. 212, Vilnius";"Ilgiausia g. 52, Vilnius";Pinigų Pieninė;PNGPNN66
Ala;Skadiniūtė;61606150521;2016-06-15;Verdženija;49406150521;user53@user.lt;+37060000053;Skuduriukas;123000013;861000013;darzelis13@darzelis.lt;LT000000000000000013;"Ilgiausia g. 213, Vilnius";"Ilgiausia g. 53, Vilnius";Pinigų Pieninė;PNGPNN66
Birutėlė;Četvergaitė;61606150576;2016-06-15;Bytautė;49406150576;user54@user.lt;+37060000054;Languotukas;123000014;861000014;darzelis14@darzelis.lt;LT000000000000000014;"Ilgiausia g. 214, Vilnius";"Ilgiausia g. 54, Vilnius";Pinigų Pieninė;PNGPNN66
Juozapė;Liupševičytė;61606150554;2016-06-15;Tolminė;49406150554;user55@user.lt;+37060000055;Šurum-burum;123000015;861000015;darzelis15@darzelis.lt;LT000000000000000015;"Ilgiausia g. 215, Vilnius";"Ilgiausia g. 55, Vilnius";Pinigų Pieninė;PNGPNN66
Norgilė;Zalubaitė;61606150543;2016-06-15;Uljanija;49406150543;user56@user.lt;+37060000056;Aguonų laukas;123000016;861000016;darzelis16@darzelis.lt;LT000000000000000016;"Ilgiausia g. 216, Vilnius";"Ilgiausia g. 56, Vilnius";Pinigų Pieninė;PNGPNN66
Virgailė;Kirklys-masiokiūtė;61606150532;2016-06-15;Oktavija;49406150532;user57@user.lt;+37060000057;Vienaragis;123000017;861000017;darzelis17@darzelis.lt;LT000000000000000017;"Ilgiausia g. 217, Vilnius";"Ilgiausia g. 57, Vilnius";Pinigų Pieninė;PNGPNN66
Alvida;Ledytė;61606150565;2016-06-15;Jurgė;49406150565;user58@user.lt;+37060000058;Paršelis;123000018;861000018;darzelis18@darzelis.lt;LT000000000000000018;"Ilgiausia g. 218, Vilnius";"Ilgiausia g. 58, Vilnius";Pinigų Pieninė;PNGPNN66
Erna;Norvaišiūtė;61606150510;2016-06-15;Rufina;49406150510;user59@user.lt;+37060000059;Puškutis;123000019;861000019;darzelis19@darzelis.lt;LT000000000000000019;"Ilgiausia g. 219, Vilnius";"Ilgiausia g. 59, Vilnius";Pinigų Pieninė;PNGPNN66
Vidymantas;Nanevičius;51907150654;2019-07-15;Rusnis;38807150654;user60@user.lt;+37060000060;Baseinėlis;123000020;861000020;darzelis20@darzelis.lt;LT000000000000000020;"Ilgiausia g. 220, Vilnius";"Ilgiausia g. 60, Vilnius";Pinigų Pieninė;PNGPNN66
Karpis;Liakerauskas;51907150687;2019-07-15;Girmintas;38807150687;user61@user.lt;+37060000061;Blizgutis;123000001;861000001;darzelis1@darzelis.lt;LT000000000000000001;"Ilgiausia g. 201, Vilnius";"Ilgiausia g. 61, Vilnius";Pinigų Pieninė;PNGPNN66
Gytautas;Brilinkevičius;51907150665;2019-07-15;Gitavtas;38807150665;user62@user.lt;+37060000062;Dudutis;123000002;861000002;darzelis2@darzelis.lt;LT000000000000000002;"Ilgiausia g. 202, Vilnius";"Ilgiausia g. 62, Vilnius";Pinigų Pieninė;PNGPNN66
Pilėnas;Bloziukas;51907150698;2019-07-15;Kornelis;38807150698;user63@user.lt;+37060000063;Makalai;123000003;861000003;darzelis3@darzelis.lt;LT000000000000000003;"Ilgiausia g. 203, Vilnius";"Ilgiausia g. 63, Vilnius";Pinigų Pieninė;PNGPNN66
Vaigydas;Lukševičius;51907150643;2019-07-15;Gaivis;38807150643;user64@user.lt;+37060000064;Bim-Bam;123000004;861000004;darzelis4@darzelis.lt;LT000000000000000004;"Ilgiausia g. 204, Vilnius";"Ilgiausia g. 64, Vilnius";Pinigų Pieninė;PNGPNN66
Milgedas;Spuris;51907150632;2019-07-15;Patrik;38807150632;user65@user.lt;+37060000065;Batukai;123000005;861000005;darzelis5@darzelis.lt;LT000000000000000005;"Ilgiausia g. 205, Vilnius";"Ilgiausia g. 65, Vilnius";Pinigų Pieninė;PNGPNN66
Ignnatijus;Marusevičius;51907150621;2019-07-15;Polius;38807150621;user66@user.lt;+37060000066;Gėlynėlis;123000006;861000006;darzelis6@darzelis.lt;LT000000000000000006;"Ilgiausia g. 206, Vilnius";"Ilgiausia g. 66, Vilnius";Pinigų Pieninė;PNGPNN66
Lengvinas;Goreika;51907150602;2019-07-15;Jorigis;38807150602;user67@user.lt;+37060000067;Ąžuolėlis;123000007;861000007;darzelis7@darzelis.lt;LT000000000000000007;"Ilgiausia g. 207, Vilnius";"Ilgiausia g. 67, Vilnius";Pinigų Pieninė;PNGPNN66
Getautas;Spudys;51907150676;2019-07-15;Elbertas;38807150676;user68@user.lt;+37060000068;Trys Liepaitės;123000008;861000008;darzelis8@darzelis.lt;LT000000000000000008;"Ilgiausia g. 208, Vilnius";"Ilgiausia g. 68, Vilnius";Pinigų Pieninė;PNGPNN66
Voldis;Grizickas;51907150610;2019-07-15;Jonas;38807150610;user69@user.lt;+37060000069;Du batukai;123000009;861000009;darzelis9@darzelis.lt;LT000000000000000009;"Ilgiausia g. 209, Vilnius";"Ilgiausia g. 69, Vilnius";Pinigų Pieninė;PNGPNN66
Varonika;Zabalavičiūtė;61908150772;2019-08-15;Adolaida;49808150772;user70@user.lt;+37060000070;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 70, Vilnius";Pinigų Pieninė;PNGPNN66
Balanda;Terekas-malinaskytė;61908150769;2019-08-15;Juvencija;49808150769;user71@user.lt;+37060000071;Dūdutis;123000011;861000011;darzelis11@darzelis.lt;LT000000000000000011;"Ilgiausia g. 211, Vilnius";"Ilgiausia g. 71, Vilnius";Pinigų Pieninė;PNGPNN66
Zigfrida;Maziliauskaitė;61908150758;2019-08-15;Sanga;49808150758;user72@user.lt;+37060000072;Trupinėlis;123000012;861000012;darzelis12@darzelis.lt;LT000000000000000012;"Ilgiausia g. 212, Vilnius";"Ilgiausia g. 72, Vilnius";Pinigų Pieninė;PNGPNN66
Dija;Ušauskaitė;61908150747;2019-08-15;Gracija;49808150747;user73@user.lt;+37060000073;Skuduriukas;123000013;861000013;darzelis13@darzelis.lt;LT000000000000000013;"Ilgiausia g. 213, Vilnius";"Ilgiausia g. 73, Vilnius";Pinigų Pieninė;PNGPNN66
Vince;Palapaitė;61908150780;2019-08-15;Laimantė;49808150780;user74@user.lt;+37060000074;Languotukas;123000014;861000014;darzelis14@darzelis.lt;LT000000000000000014;"Ilgiausia g. 214, Vilnius";"Ilgiausia g. 74, Vilnius";Pinigų Pieninė;PNGPNN66
Jautrė;Eiseniūtė;61908150714;2019-08-15;Penelopė;49808150714;user75@user.lt;+37060000075;Šurum-burum;123000015;861000015;darzelis15@darzelis.lt;LT000000000000000015;"Ilgiausia g. 215, Vilnius";"Ilgiausia g. 75, Vilnius";Pinigų Pieninė;PNGPNN66
Terėsė;Žirliūtė;61908150791;2019-08-15;Eolelija;49808150791;user76@user.lt;+37060000076;Aguonų laukas;123000016;861000016;darzelis16@darzelis.lt;LT000000000000000016;"Ilgiausia g. 216, Vilnius";"Ilgiausia g. 76, Vilnius";Pinigų Pieninė;PNGPNN66
Jurgita;Sajinskiūtė;61908150725;2019-08-15;Deivydė;49808150725;user77@user.lt;+37060000077;Vienaragis;123000017;861000017;darzelis17@darzelis.lt;LT000000000000000017;"Ilgiausia g. 217, Vilnius";"Ilgiausia g. 77, Vilnius";Pinigų Pieninė;PNGPNN66
Gertruda;Paškevičiūtė;61908150736;2019-08-15;Genija;49808150736;user78@user.lt;+37060000078;Paršelis;123000018;861000018;darzelis18@darzelis.lt;LT000000000000000018;"Ilgiausia g. 218, Vilnius";"Ilgiausia g. 78, Vilnius";Pinigų Pieninė;PNGPNN66
Arvina;Zviravičaitė;61908150703;2019-08-15;Adelia;49808150703;user79@user.lt;+37060000079;Puškutis;123000019;861000019;darzelis19@darzelis.lt;LT000000000000000019;"Ilgiausia g. 219, Vilnius";"Ilgiausia g. 79, Vilnius";Pinigų Pieninė;PNGPNN66
Rimantis;Taseckas;51909150860;2019-09-15;Mantvilas;38809150860;user80@user.lt;+37060000080;Baseinėlis;123000020;861000020;darzelis20@darzelis.lt;LT000000000000000020;"Ilgiausia g. 220, Vilnius";"Ilgiausia g. 80, Vilnius";Pinigų Pieninė;PNGPNN66
Galius;Dėdynas;51909150852;2019-09-15;Naras;38809150852;user81@user.lt;+37060000081;Blizgutis;123000001;861000001;darzelis1@darzelis.lt;LT000000000000000001;"Ilgiausia g. 201, Vilnius";"Ilgiausia g. 81, Vilnius";Pinigų Pieninė;PNGPNN66
Arymantas;Kavoliukas;51909150893;2019-09-15;Alvis;38809150893;user82@user.lt;+37060000082;Dudutis;123000002;861000002;darzelis2@darzelis.lt;LT000000000000000002;"Ilgiausia g. 202, Vilnius";"Ilgiausia g. 82, Vilnius";Pinigų Pieninė;PNGPNN66
Kantvilas;Karlys;51909150849;2019-09-15;Alginas;38809150849;user83@user.lt;+37060000083;Makalai;123000003;861000003;darzelis3@darzelis.lt;LT000000000000000003;"Ilgiausia g. 203, Vilnius";"Ilgiausia g. 83, Vilnius";Pinigų Pieninė;PNGPNN66
Vinantas;Budzinskas;51909150816;2019-09-15;Vaidrimas;38809150816;user84@user.lt;+37060000084;Bim-Bam;123000004;861000004;darzelis4@darzelis.lt;LT000000000000000004;"Ilgiausia g. 204, Vilnius";"Ilgiausia g. 84, Vilnius";Pinigų Pieninė;PNGPNN66
Platonas;Vitkelis;51909150871;2019-09-15;Gaudvydas;38809150871;user85@user.lt;+37060000085;Batukai;123000005;861000005;darzelis5@darzelis.lt;LT000000000000000005;"Ilgiausia g. 205, Vilnius";"Ilgiausia g. 85, Vilnius";Pinigų Pieninė;PNGPNN66
Kipras;Bildunkevičius;51909150838;2019-09-15;Joviltas;38809150838;user86@user.lt;+37060000086;Gėlynėlis;123000006;861000006;darzelis6@darzelis.lt;LT000000000000000006;"Ilgiausia g. 206, Vilnius";"Ilgiausia g. 86, Vilnius";Pinigų Pieninė;PNGPNN66
Marcelius;Karlonis;51909150827;2019-09-15;Ildefons;38809150827;user87@user.lt;+37060000087;Ąžuolėlis;123000007;861000007;darzelis7@darzelis.lt;LT000000000000000007;"Ilgiausia g. 207, Vilnius";"Ilgiausia g. 87, Vilnius";Pinigų Pieninė;PNGPNN66
Laimius;Smardakauskas;51909150882;2019-09-15;Jotvis;38809150882;user88@user.lt;+37060000088;Trys Liepaitės;123000008;861000008;darzelis8@darzelis.lt;LT000000000000000008;"Ilgiausia g. 208, Vilnius";"Ilgiausia g. 88, Vilnius";Pinigų Pieninė;PNGPNN66
Iminas;Šolkauskas;51909150805;2019-09-15;Mečislavas;38809150805;user89@user.lt;+37060000089;Du batukai;123000009;861000009;darzelis9@darzelis.lt;LT000000000000000009;"Ilgiausia g. 209, Vilnius";"Ilgiausia g. 89, Vilnius";Pinigų Pieninė;PNGPNN66
Gilvilė;Zenteriūtė;61910150930;2019-10-15;Celestė;49810150930;user90@user.lt;+37060000090;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 90, Vilnius";Pinigų Pieninė;PNGPNN66
Ladislava;Ruškytė;61910150995;2019-10-15;Vylma;49810150995;user91@user.lt;+37060000091;Dūdutis;123000011;861000011;darzelis11@darzelis.lt;LT000000000000000011;"Ilgiausia g. 211, Vilnius";"Ilgiausia g. 91, Vilnius";Pinigų Pieninė;PNGPNN66
Levonida;Pastalaitė;61910150984;2019-10-15;Armilė;49810150984;user92@user.lt;+37060000092;Trupinėlis;123000012;861000012;darzelis12@darzelis.lt;LT000000000000000012;"Ilgiausia g. 212, Vilnius";"Ilgiausia g. 92, Vilnius";Pinigų Pieninė;PNGPNN66
Nadžija;Kiaulakiūtė;61910150951;2019-10-15;Irtė;49810150951;user93@user.lt;+37060000093;Skuduriukas;123000013;861000013;darzelis13@darzelis.lt;LT000000000000000013;"Ilgiausia g. 213, Vilnius";"Ilgiausia g. 93, Vilnius";Pinigų Pieninė;PNGPNN66
Minte;Gruševskiūtė;61910150940;2019-10-15;Ilitija;49810150940;user94@user.lt;+37060000094;Languotukas;123000014;861000014;darzelis14@darzelis.lt;LT000000000000000014;"Ilgiausia g. 214, Vilnius";"Ilgiausia g. 94, Vilnius";Pinigų Pieninė;PNGPNN66
